index	chrom	start	end	pqs.position	eG4Sig	Stability	phyloP	annotation	geneId	transcriptId	distanceToTSS	ChromState	ATACSig	Type	ZFP90	ZNF776	PCGF1	ZNF133	ZNF143	ZNF77	ZNF530	ZNF136	ZNF714	ZNF157	AFF4	NCOR1	ZNF611	ZNF429	ZNF558	ZNF222	LEF1	ZNF383	ZNF540	KMT2B	ZNF101	ZNF10	ZNF570	ZNF184	ZNF264	CXXC4	ZNF585A	ZNF621	ZNF19	CTCF	SP2	ZNF311	ZNF786	L3MBTL2	ZNF860	ZNF12	ZNF799	YY1	ZNF605	ZIM3	ZNF223	ZNF432	MBD3	ZNF433	ZNF324	ZNF25	ZNF527	ZNF454	ZNF480	ZNF584	ZNF681	ZNF283	ZNF708	ZNF674	ZNF816	ZNF671	ZNF93	TBL1X	PKNOX1	ZNF780A	ZNF669	BMI1	ZNF180	ZNF431	ZNF274	ZNF701	ZNF614	ZNF492	ZNF44	USP7	ZNF212	ZNF573	BRD4	CTBP1	ZNF285	ZNF684	JMJD6	ZNF418	CDK9	HDGF	ZNF460	ZNF561	ZNF626	FOXM1	ZNF205	ZNF749	ZNF141	PCGF2	ZNF496	ZNF641	ZNF791	NFRKB	ZNF566	ZNF273	ZNF202	GSPT2	ZNF555	ZNF627	ZNF90	ZNF33B	FOXK1	ZNF534	ZNF197	ZKSCAN5	ZNF320	ZNF317	ZNF30	ZNF879	ZNF79	ZNF132	ZNF778	TARDBP	ZNF7	ZNF777	CBX4	SUZ12	ZNF582	RYBP	ZNF287	ZNF189	ZNF154	ZNF17	ZNF135	ZNF730	ZKSCAN3	NIPBL	ZNF304	ZFX	ZNF182	ZNF2	ZNF302	SMC3	ZNF789	ZNF441	NFKB1	ZNF430	ZNF267	ZNF529	ZNF300	ZNF716	ZNF84	RNF2	CBX2	ZNF487	ZNF483	ZNF662	ZKSCAN2	ZNF675	ZNF528	ELF4	ZNF337	ZNF114	HKR1	ASXL1	PHC1	ZNF548	ZNF417	ZNF26	ZNF425	ZIK1	BRD3	ZNF880	ZNF557	ZNF891	ZNF484	ZNF445	BHLHE40	ZNF823	WDR5	ZNF257	FOXA1	ZNF333	CBX7	ZNF224	ZNF610	FOXK2	ARNT	ZNF707	SP1	ZFP14	ZFP69B	ZNF506	ZNF613	ZNF248	ZNF284	ZNF225	ZNF565	ZNF711	ZNF766	ZNF616	ZNF354A	ZNF18	ZNF519	ZNF384	KMT2A	ZNF468	ZNF479	ZNF343	ZNF543	ZFY	RBAK	ZNF331	ZNF440	ZNF644	ZNF263	ZNF736	ZFP69	ZNF846	ZNF547	ZNF28	ZNF587	ZNF792	ZNF124	ZNF808	ZNF398	ZNF81	ZNF8	ZNF695	ZNF649	ZNF571	MED26	ZNF485	TFCP2	ZNF783	ZNF765	ZNF266	ZNF567	TFnum
chr1:805355	chr1	805091	805620	805410	13.644	16.9	8.903	Intron (uc001abt.4/284593, intron 2 of 2)	284593	uc001abt.4	6826	11_EnhWk	21.1119430415771	293T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
chr1:860285	chr1	859998	860573	860346	9	33.7	8.903	Promoter	148398	uc001abv.1	-244	1_TssA	23.0197573461643	293T	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7
chr1:871226	chr1	870958	871495	871305	10.5	18.7	8.903	Exon (uc001abv.1/148398, exon 5 of 5)	148398	uc031pko.1	-3428	9_EnhA1	82.2678573155423	293T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
chr1:876932	chr1	875768	878097	876963	26.676	29.6	8.903	Intron (uc001abw.1/148398, intron 8 of 13)	148398	uc031pkp.1	409	3_TssFlnkU	70.7397465979256	293T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
chr1:902211	chr1	901779	902643	902284	10.8	6.2	8.903	Intron (uc001acd.3/84069, intron 2 of 15)	84069	uc001acf.3	335	3_TssFlnkU	26.0002564441091	293T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
chr1:935676	chr1	935062	936290	935665	21.955	6.5	8.903	Promoter	57801	uc010nyc.1	-125	1_TssA	58.9539352349679	293T	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
chr1:937308	chr1	937131	937485	937336	9.1	15.6	8.903	Distal Intergenic	57801	uc010nyc.1	-1757	1_TssA	48.1207597510833	293T	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
chr1:955246	chr1	954610	955882	955219	22.938	7.8	8.903	Promoter	375790	uc001ack.2	-256	1_TssA	11.6136427532071	293T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11
chr1:968294	chr1	968087	968501	968320	8.8	19.1	8.903	Intron (uc001ack.2/375790, intron 2 of 35)	375790	uc001ack.2	12792	6_TxWk	2.97333240262768	293T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr1:976020	chr1	975713	976327	976028	16.47	9	8.903	Intron (uc001ack.2/375790, intron 3 of 35)	375790	uc001ack.2	20518	4_TssFlnkD	17.9781497354956	293T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
