index	chrom	start	end	pqs.position	eG4Sig	Stability	phyloP	annotation	geneId	transcriptId	distanceToTSS	ChromState	ATACSig	Type	ISL2	HCFC1	KDM3A	ZNF142	HNF4G	REST	TBP	NFE2L2	USF1	SREBF2	ZNF770	EZH2	FOXJ3	HNF1A	ZNF407	EGR1	SRSF9	SMC1A	PRDM15	ZNF175	ZNF337	ZNF384	NONO	RXRA	JUND	GTF2F1	ATF3	RUVBL2	FOXA1	ZNF737	ZFY	ZNF891	NR2F6	DRAP1	ARID1B	ZNF609	NFKBIZ	FIP1L1	ZBED4	MEF2A	FOS	ZNF143	CEBPD	HNRNPH1	ZNF207	NFIL3	HLF	PCBP2	ZBTB7A	HOXA3	PHF5A	ZNF598	NFIC	ZKSCAN1	SMC3	FOXP4	YY1	ZFP36	TBX2	PREB	NRF1	PHF8	SIN3B	LCORL	HSF2	PRDM10	MAZ	DNMT3B	ZNF629	ONECUT1	PCBP1	LIN54	ZNF503	KAT2B	ZNF24	SSRP1	MED1	NFRKB	ZNF274	HNRNPK	HNRNPL	FOXK2	NIPBL	SREBF1	PRPF4	HNF1B	CREB1	PPARG	MAFK	E2F4	NFATC3	ATF2	GMEB1	GATA4	SIN3A	HIVEP1	MNX1	CERS6	CEBPA	ETS1	JUN	KLF10	RBM39	PHF21A	YBX1	ATF7	PLRG1	SRSF1	CEBPZ	SIX1	TFDP2	ZNF550	ZMYM3	ARID3A	IRF3	HNRNPUL1	GABPA	ZBTB2	GFI1	RCOR1	EP300	TCF7L2	ZNF777	SMAD1	L3MBTL4	FUS	MNT	SRSF7	RNF2	NR2F2	FOXP1	BHLHE40	FOXO3	ASH2L	SFPQ	ZSCAN2	USF2	MBD4	BRCA1	ESRRA	MXI1	SP140L	SP5	CBFB	SAFB2	AGO1	CBX1	TCF25	SOX6	ZBTB7B	ZBTB40	ZNF224	TAF1	DR1	SMARCE1	KMT2A	ZNF263	ZBTB21	SUZ12	RFX3	NFYC	ELF1	GATA2	HSF1	CCAR2	ZNF276	FOSL2	CEBPB	ARNTL	RAD21	ZNF697	CREM	MTA1	RFX1	PAXIP1	BACH1	ZNF786	HHEX	HDAC2	ZEB1	HES1	RUVBL1	RFX5	ARNT	TEAD4	ATM	CHD2	HDAC1	FOXK1	RFXAP	ZBTB33	TCF12	ZHX2	IKZF1	SMAD3	THRB	E2F1	RAD51	MLX	SKI	ATF1	MXD4	NFYB	BRD4	ZNF12	U2AF2	ZNF3	HNRNPLL	TARDBP	ONECUT2	TBL1XR1	NR5A1	SMAD4	SMARCC1	TRIM22	NR2C2	TFAP4	DLX6	SMARCC2	PPARGC1A	PTBP1	ZNF766	PBX2	STAG1	ZNF44	ZNF883	ARID2	TP53	SP1	SRF	SATB1	NFAT5	TBX3	CUX1	ZNF264	ZFP64	PHB2	NBN	NFYA	MYNN	ZNF501	U2AF1	ZNF256	HBP1	MYC	SRSF4	MYBL2	ZGPAT	TSC22D4	NFIA	ETV4	ARID1A	NR3C1	ZNF800	GMEB2	MBD1	SRSF3	TCF7	HNRNPC	TFE3	ZFP37	MAX	ZBTB14	ZNF232	KDM5B	ZNF121	ZNF652	SMARCB1	HNF4A	SP2	ZNF282	INO80	KLF6	DMAP1	TCF3	CTCF	MCRS1	TAF15	ARID4A	ZNF572	HMGXB4	ZNF217	SOX13	ATF4	TGIF2	TFnum
chr1:762896	chr1	762795	762998	762936	40.379	39.3	8.903	Exon (uc010nxx.2/79854, exon 1 of 1)	79854	uc010nxx.2	5	1_TssA	21.8458492454346	HepG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
chr1:852604	chr1	852480	852729	852614	11.606	15	8.903	Distal Intergenic	100130417	uc010nxy.1	2212	15_EnhBiv	5.72072193872065	HepG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
chr1:858508	chr1	858385	858632	858475	11.606	7	8.903	Distal Intergenic	148398	uc001abv.1	-2021	16_ReprPC	4.58255246837038	HepG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
chr1:862851	chr1	862785	862918	862840	10.157	42	8.903	Intron (uc001abv.1/148398, intron 2 of 4)	148398	uc031pkn.1	1550	16_ReprPC	3.31395489381496	HepG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:872096	chr1	871831	872362	872094	16.095	36	8.903	Intron (uc001abw.1/148398, intron 5 of 13)	148398	uc031pko.1	-2558	16_ReprPC	3.02679683710043	HepG2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
chr1:873606	chr1	873361	873851	873509	23.902	20.1	8.903	Intron (uc001abw.1/148398, intron 5 of 13)	148398	uc031pko.1	-1048	15_EnhBiv	15.7262881635062	HepG2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	50
chr1:873961	chr1	873885	874037	873918	11.51	17.5	8.903	Promoter	148398	uc031pko.1	-693	15_EnhBiv	12.0754912899628	HepG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6
chr1:874879	chr1	874643	875115	874807	16.764	38	8.903	Intron (uc001abw.1/148398, intron 7 of 13)	148398	uc031pko.1	225	14_TssBiv	9.77692826649847	HepG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7
chr1:888297	chr1	888057	888537	888384	19.259	19.5	8.903	Intron (uc001aby.4/26155, intron 7 of 16)	26155	uc001aby.4	5620	5_Tx	2.42691020817884	HepG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr1:894669	chr1	894505	894833	894704	25.736	31.3	8.903	Exon (uc001abz.4/26155, exon 1 of 19)	26155	uc001abz.4	9	2_TssFlnk	21.3437218415673	HepG2	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	0	113
